"序号","docs文件","代码块或标签","sample工程","sample文件","同步情况","变更摘要","同步前编译","同步后编译","编译情况","备注"
"1","zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md","无标签：getKeyboardAvoidMode示例","", "","3、未找到","局部变量KeyboardAvoidMode重命名为currentKeyboardAvoidMode","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现对应 sample"
"2","zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md","无标签：ForEach键值函数","", "","3、未找到","键值函数参数由string修正为number并转字符串","不适用","不适用","不适用（未找到 sample 工程）","完整代码块相似度不足，未强制同步"
"3","zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md","无标签：willClick/didClick注释","", "","3、未找到","didClick示例注释由off修正为on","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现对应 sample"
"4","zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md","无标签：removeGlobalGestureListener","", "","3、未找到","数字手势类型替换为GestureListenerType枚举","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现对应 sample"
"5","zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md","无标签：GetRenderNode函数声明","", "","3、未找到","文档函数原型移除行尾分号","不适用","不适用","不适用（未找到 sample 工程）","属于接口文档声明，仓库内无对应 sample 片段"
"6","zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-observer.md","无标签：ForEach键值函数","", "","3、未找到","键值函数参数由string修正为number并转字符串","不适用","不适用","不适用（未找到 sample 工程）","完整代码块相似度不足，未强制同步"
"7","zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-observer.md","无标签：densityUpdate import","", "","3、未找到","移除未使用的UIContext导入","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现对应 sample"
"8","zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md","无标签：pages/Index.ets注释","", "","3、未找到","文件注释补充空格","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现唯一对应 sample"
"9","zh-cn/application-dev/ui/arkts-global-interface.md","Common_Utils","code/DocsSample/ArkUISample/ResolvedUIContext","code/DocsSample/ArkUISample/ResolvedUIContext/entry/src/main/ets/common/Utils.ets","1、通过标签同步","ohos旧包导入替换为kit导入","成功","成功","1、同步后编译成功",""
"10","zh-cn/application-dev/ui/arkts-global-interface.md","Common_Utils","code/DocsSample/ArkUISample/UIContext","code/DocsSample/ArkUISample/UIContext/entry/src/main/ets/Common/Utils.ets","1、通过标签同步","补充UIContext导入并将lpx2px改为static","成功","成功","1、同步后编译成功",""
"11","zh-cn/application-dev/ui/arkts-global-interface.md","Common_WindowUtils","code/DocsSample/ArkUISample/UIContext","code/DocsSample/ArkUISample/UIContext/entry/src/main/ets/Common/WindowUtils.ets","1、通过标签同步","补充UIContext导入","成功","成功","1、同步后编译成功",""
"12","zh-cn/application-dev/ui/arkts-global-interface.md","Common_PixelUtils","code/DocsSample/ArkUISample/UIContext","code/DocsSample/ArkUISample/UIContext/entry/src/main/ets/Common/UIContext.ets","1、通过标签同步","补充UIContext导入并将lpx2px改为static","成功","成功","1、同步后编译成功",""
"13","zh-cn/application-dev/ui/arkts-user-defined-arktsNode-crossLanguage.md","无标签：ForEach键值函数","", "","3、未找到","键值函数参数由string修正为number并转字符串","不适用","不适用","不适用（未找到 sample 工程）","完整代码块在本仓库不存在"
"14","zh-cn/application-dev/ui/arkts-user-defined-arktsNode-renderNode.md","custom_draw","code/DocsSample/ArkUISample/NativeType/CustomRenderNode","code/DocsSample/ArkUISample/NativeType/CustomRenderNode/entry/src/main/ets/pages/CustomDraw.ets","1、通过标签同步","注释由绘制矩阵修正为绘制矩形","成功","成功","1、同步后编译成功",""
"15","zh-cn/application-dev/ui/arkts-user-defined-arktsNode-renderNode.md","native_bridge","code/DocsSample/ArkUISample/NativeType/CustomRenderNode","code/DocsSample/ArkUISample/NativeType/CustomRenderNode/entry/src/main/cpp/NativeBridge.cpp","1、通过标签同步","绘制后解绑Pen并释放Pen和Path","成功","成功","1、同步后编译成功",""
"16","zh-cn/application-dev/ui/ndk-access-the-arkts-page.md","无标签：NODE_BACKGROUND_COLOR","", "","3、未找到","背景色属性参数由item修正为item_color","不适用","不适用","不适用（未找到 sample 工程）","全文片段匹配未发现对应 sample"
"17","zh-cn/application-dev/ui/ndk-access-the-arkts-page.md","Cpp_ArkUIListItemNode","code/DocsSample/ArkUISample/ButtonList","code/DocsSample/ArkUISample/ButtonList/entry/src/main/cpp/ArkUIListItemNode.h","1、通过标签同步","修正头文件保护宏名称","成功","成功","1、同步后编译成功",""
"18","zh-cn/application-dev/ui/ndk-access-the-arkts-page.md","Cpp_NormalTextListExample","code/DocsSample/ArkUISample/ButtonList","code/DocsSample/ArkUISample/ButtonList/entry/src/main/cpp/NormalTextListExample.h","1、通过标签同步","移除重复SetPercentWidth调用","成功","成功","1、同步后编译成功",""
"19","zh-cn/application-dev/ui/ndk-build-custom-components.md","custom-components","code/DocsSample/ArkUISample/NativeType/CustomContainerSample","code/DocsSample/ArkUISample/NativeType/CustomContainerSample/entry/src/main/cpp/ArkUICustomContainerNode.h","1、通过标签同步","测量完成后释放LayoutConstraint","成功","成功","1、同步后编译成功",""
"20","zh-cn/application-dev/ui/ndk-build-custom-components.md","custom-draw","code/DocsSample/ArkUISample/NativeType/CustomDrawSample","code/DocsSample/ArkUISample/NativeType/CustomDrawSample/entry/src/main/cpp/ArkUICustomNode.h","1、通过标签同步","销毁Brush前先从Canvas解绑","成功","成功","1、同步后编译成功",""
"21","zh-cn/application-dev/ui/ndk-build-on-multi-thread.md","无标签：AsyncData/CreateNodeTree完整片段匹配","code/DocsSample/ArkUISample/NativeType/NativeNodeUtilsSample","code/DocsSample/ArkUISample/NativeType/NativeNodeUtilsSample/entry/src/main/cpp/NativeEntry.cpp","2、通过匹配同步","移除未使用napi_env字段；button2设置margin","成功","成功","1、同步后编译成功","通过完整代码块和宏定义定位"
"22","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","page_index","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/ets/pages/Index.ets","1、通过标签同步","修正混合模式注释","成功","成功","1、同步后编译成功",""
"23","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","native_init","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/cpp/NapiInit.cpp","1、通过标签同步","文件名注释修正为NapiInit.cpp","成功","成功","1、同步后编译成功",""
"24","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","arkui_mixed_refresh_template","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/cpp/ArkUIMixedRefreshTemplate.h","1、通过标签同步","RegisterCreateAndUpdateRefresh重命名为RegisterCreateRefresh","成功","成功","1、同步后编译成功",""
"25","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","arkui_mixed_refresh_template_cpp","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/cpp/ArkUIMixedRefreshTemplate.cpp","1、通过标签同步","RegisterCreateAndUpdateRefresh重命名为RegisterCreateRefresh","成功","成功","1、同步后编译成功",""
"26","zh-cn/application-dev/ui/ndk-embed-arkts-components.md","无标签：CMake add_library片段匹配","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents","code/DocsSample/ArkUISample/NativeType/NdkEmbedArktsComponents/entry/src/main/cpp/CMakeLists.txt","2、通过匹配同步","napi_init.cpp大小写修正为NapiInit.cpp","成功","成功","1、同步后编译成功","本仓库原文件已为NapiInit.cpp，无需重复修改"
